seq,lat,lon,alt,roll,pitch,yaw
127,37.54594992,122.0869593,300.9829,1.10515953,3.156497555,161.3203207
128,37.54567939,122.0872738,300.70264,0.3804009,2.960036275,159.918869
129,37.5454108,122.0875897,301.97888,1.611153334,3.319315403,159.8957089
130,37.54514749,122.0879073,301.85394,1.588312361,1.48352235,159.2998735
131,37.54488342,122.0882193,302.15045,1.239111492,2.921077207,157.4491728
132,37.54462034,122.0885347,303.12836,0.999612577,0.921818554,163.5254557
133,37.54435324,122.0888528,303.612,2.757755739,0.829229295,165.0168619
134,37.54408377,122.0891662,303.33984,1.394444084,-1.398916277,164.2715066
135,37.54380989,122.089476,302.4323,1.35585276,5.935543175,160.932722
136,37.54354091,122.0897903,301.6789,-0.149291231,-1.341076457,161.0686982
137,37.54326597,122.0900989,303.32928,-0.41040664,0.49176645,152.3708691
138,37.54300226,122.0904216,303.72644,2.602692899,-1.854953718,152.8815283
139,37.54274095,122.0907373,303.46118,1.019005495,1.129645158,152.3587495
140,37.54248694,122.0910591,303.15778,4.179596296,0.578545178,156.1280953
141,37.54222115,122.091368,301.56995,-0.191627441,0.038062337,156.7543309
142,37.54195365,122.0916826,301.30035,0.798145266,0.619680093,157.9050703
143,37.54168593,122.0919949,300.53613,1.59102703,1.31505397,159.543254
144,37.54141926,122.0923053,300.79083,1.819818368,0.402479098,159.5010791
145,37.54132681,122.0924128,300.43652,1.265036019,0.608244355,160.4181418
146,37.54499404,122.086146,300.22296,-0.751984951,2.976833954,-68.89701744
147,37.54526827,122.0858403,300.05878,0.239395274,1.980784171,-67.00816959
148,37.54553823,122.0855321,299.71606,0.47042227,2.244343981,-68.85284833
149,37.54580914,122.0852139,299.50903,0.957987871,2.623843185,-69.4722437
150,37.5460785,122.0848974,299.75568,0.965189286,3.752327805,-69.51834609
151,37.54634556,122.0845864,299.54358,1.287994911,3.665257083,-69.30329773
152,37.54937191,122.0850381,302.9311,-9.238599265,1.838006869,-174.2994063
153,37.54904078,122.085223,301.7342,-9.088091179,2.741090017,174.5327342
154,37.54874339,122.0854947,301.2157,-4.782659414,3.797617547,164.3581774
155,37.54847706,122.0858062,300.5913,-0.570225078,3.217274692,163.9859179
156,37.54822155,122.0861324,300.94342,2.060547246,3.267837802,163.2901104
157,37.54797238,122.0864643,302.0371,3.839505163,1.753288231,163.3771232
158,37.54771747,122.0867898,302.31586,4.380200481,2.286504668,164.8000162
159,37.54745606,122.0871018,302.15576,2.791196016,1.812655411,166.949421
160,37.54718731,122.0874106,301.80933,1.38453704,2.583327405,169.3825257
161,37.54691912,122.0877186,301.28687,1.803922576,3.6473303,160.1021405
162,37.54664537,122.0880204,300.08972,-2.503437534,3.769838264,158.9034253
163,37.54638026,122.0883372,302.0625,2.495757616,3.368820233,163.9865627
164,37.54612383,122.0886601,301.50732,2.150376724,0.904673485,161.2685881
165,37.54585541,122.0889631,301.09613,-0.305257394,0.47891164,163.0875203
166,37.5455822,122.0892653,299.84857,-0.081938644,2.978828308,157.7988591
167,37.54531548,122.0895729,300.7414,1.168373796,3.477135569,163.7261674
168,37.54504249,122.0898819,300.96143,-0.331345865,2.311130903,165.4028213
169,37.54476558,122.0901809,300.64362,-1.356932326,3.399816832,158.5780182
170,37.54450185,122.0904921,302.8531,0.208166118,0.557154009,155.1339153
171,37.54423719,122.0908162,304.41705,1.265731647,-0.937998122,159.2560859
172,37.54397322,122.0911317,304.9854,3.001584637,-1.103949137,158.3488561
173,37.54371545,122.0914499,303.6493,2.443235368,-2.063589576,157.7462692
174,37.54344919,122.0917609,299.39905,-0.397780233,2.919567569,160.3247524
175,37.54318233,122.0920748,298.88647,2.26709951,3.143764374,157.6946291
176,37.54290765,122.0923886,300.08527,0.381418157,3.629559488,160.5893732
177,37.5426483,122.0927047,306.96515,2.108033034,1.447243657,154.6657825
178,37.54239556,122.0930357,307.5072,6.047707874,-4.619472624,155.2688124
179,37.54213321,122.0933551,304.19415,2.405822568,-1.501737047,158.9142467
180,37.54203441,122.0934705,303.94232,2.508483706,-2.182477838,156.8220579
181,37.54275603,122.0970815,299.84924,-0.976436017,5.294462417,-102.7133047
182,37.54283246,122.0966331,300.17346,12.81874242,5.879586693,-95.81340616
183,37.5429632,122.0961986,303.22754,13.58047455,5.802443711,-85.60411176
184,37.54314784,122.0958079,305.5393,11.56932506,2.190541422,-82.54310221
185,37.54337715,122.0954446,305.71906,9.754845024,0.294837519,-75.19150704
186,37.54362915,122.0951117,304.69116,8.266421106,0.583485775,-69.0887633
187,37.5438986,122.0947986,303.4007,4.769672596,0.360034735,-68.49599404
188,37.54417679,122.094495,302.5938,1.07697151,2.768732447,-69.59894628
189,37.54445325,122.0941945,300.55896,2.319178718,2.43038045,-57.69107503
190,37.54473211,122.0938873,303.4865,0.525822202,-1.06973552,-60.01566908
191,37.54500708,122.0935799,305.80414,1.822305148,0.79275202,-54.25060651
192,37.54527891,122.0932774,308.80603,1.259302053,-4.777423346,-57.73596796
193,37.54554445,122.0929693,308.57465,1.297370736,-2.984293835,-56.62789478
194,37.54581114,122.092658,305.37585,2.202376632,-4.55628497,-60.31839132
195,37.54606599,122.0923368,302.53418,5.443605748,-3.321929899,-52.15682287
196,37.54633038,122.092012,300.94507,3.763641516,0.26055856,-57.51833747
197,37.54659142,122.0916976,300.11725,5.130392823,-1.678190103,-53.66527399
198,37.54685937,122.0913913,300.76147,0.085627904,-0.7929806,-66.98996955
199,37.54712576,122.091076,300.99152,2.692089287,-1.062138091,-65.33414778
200,37.54739525,122.0907545,299.74738,3.089547596,1.980262347,-66.86923592
201,37.54766532,122.0904345,299.92908,1.80631178,1.314152485,-64.68267368
202,37.54793299,122.0901202,299.71936,2.350590299,0.329341956,-66.95640831
203,37.54819683,122.0898118,300.36206,2.21049231,1.075040445,-67.70535856
204,37.54846823,122.0895023,299.9436,1.413981954,1.074739635,-67.220234
205,37.5487422,122.0891866,298.81213,1.155954365,2.02880964,-67.50702909
206,37.54901339,122.0888726,297.92053,1.225817226,3.033735128,-67.71899914
207,37.5492848,122.0885588,297.57593,1.163301039,4.160085878,-68.72418224
208,37.54955155,122.0882509,297.98596,0.863641569,4.374634499,-69.64203092
209,37.54963031,122.0881598,298.24835,0.848563357,4.187508643,-68.86253722
210,37.55265658,122.0884935,301.4394,-8.450573276,2.390214433,178.9404484
211,37.55234896,122.0887402,300.99792,-4.810216606,2.913057549,171.4110804
212,37.55207711,122.0890404,301.81024,-3.108340412,3.337243503,160.5090073
213,37.55181795,122.0893662,301.1001,0.05669799,1.797992842,161.8924441
214,37.55155754,122.089685,301.80237,1.390962577,1.501080148,163.0102542
215,37.55129732,122.0899993,302.84027,1.570010171,0.515277297,161.6081871
216,37.55103236,122.0903202,303.33118,1.595383358,0.368053343,161.944074
217,37.55076293,122.0906358,301.90363,-0.233433202,0.91667726,159.9442113
218,37.55049857,122.090946,301.6233,1.767980249,2.14407155,162.5880308
219,37.55023417,122.091256,301.29633,2.043452597,1.808630311,165.082125
220,37.54996424,122.0915667,300.14362,0.790632723,2.509699011,162.7745076
221,37.54969169,122.0918778,299.33813,-1.739104194,2.472298866,163.3501365
222,37.5494212,122.0921885,299.5282,0.400437892,3.410980744,162.2746375
223,37.5491528,122.0925029,300.11182,1.019314028,1.891470985,160.8086047
224,37.54889009,122.0928128,300.74988,1.554919268,3.780031698,159.8960729
225,37.5486223,122.0931293,300.976,1.005344227,1.889681098,160.8221005
226,37.54835896,122.0934407,301.2945,1.155422612,2.510269955,161.6396955
227,37.54809207,122.093749,301.54492,-2.598063247,0.202616228,155.5507838
228,37.54782158,122.0940629,302.19116,0.310513137,1.59973434,157.2998518
229,37.5475523,122.0943787,303.56238,0.104130499,0.344628334,156.2097898
230,37.54728892,122.0947005,304.22852,2.643574446,-0.402561459,153.2905485
231,37.54702278,122.0950186,302.8827,1.844682185,-1.716271938,155.6986569
232,37.54675897,122.0953367,304.7265,2.02143149,-0.898167224,154.6104189
233,37.54649334,122.0956574,306.09283,2.382505058,-3.417891372,157.6326028
234,37.54622182,122.0959642,304.31055,0.44479038,0.205342183,160.2133928
235,37.54595277,122.0962737,303.1864,0.677202501,-2.432537844,163.5726248
236,37.54567727,122.0965774,300.4052,-1.747303051,3.595087347,163.1210831
237,37.54541,122.0968905,300.42926,0.532706258,0.176760427,161.7198165
238,37.54515052,122.0972106,301.30255,2.869637799,-0.329146888,157.4579919
239,37.54505648,122.097332,300.24677,4.550405629,0.161277972,162.6089308
240,37.54556826,122.1011804,301.10004,-2.168743629,1.396152524,-77.89325724
241,37.54570929,122.1007571,301.86768,6.12833708,3.649693224,-78.64617351
242,37.54586767,122.100345,303.175,9.520069103,1.560456984,-78.7886146
243,37.54605564,122.0999436,303.5252,11.4024421,1.510319085,-75.86791513
244,37.54628021,122.0995767,303.4568,9.158360145,-2.727845136,-77.63096482
245,37.54651572,122.0992249,301.1928,9.3072567,0.543437333,-73.72374455
246,37.54676854,122.0988943,301.09222,7.10320808,-0.417513679,-65.41353275
247,37.54703973,122.0985732,299.92365,3.980280172,3.07220074,-64.47865659
248,37.54730992,122.0982702,301.1798,2.547956535,1.398349042,-65.1827025
249,37.54758708,122.0979619,303.3343,1.720366987,-0.6618416,-59.39344462
250,37.54786134,122.0976602,303.53503,2.229458717,-0.544263246,-65.57914091
251,37.54813363,122.0973524,302.73804,0.493734751,-1.627673068,-65.0382211
252,37.54840121,122.0970436,302.57904,2.744622052,0.403141161,-64.06012866
253,37.54867034,122.0967298,301.77905,1.40620666,-0.134003745,-60.09716361
254,37.54893854,122.0964199,302.04803,0.772411845,-0.018552511,-62.70852026
255,37.54920668,122.0961091,302.27808,0.719201391,0.018998077,-62.88860897
256,37.54947535,122.095798,302.39392,0.78536257,-2.506149174,-64.88653047
257,37.54974459,122.095476,299.19385,3.789899472,-0.967891417,-67.69483504
258,37.55000976,122.095156,299.5359,2.75997393,3.558605197,-62.80368658
259,37.55027731,122.0948506,302.7235,-0.464697972,-0.660967794,-63.79927191
260,37.55054755,122.0945439,302.03583,2.259253572,-0.551405389,-71.54751037
261,37.55081939,122.0942265,301.43347,0.286694218,-1.645337078,-72.48980847
262,37.55107952,122.0939033,300.37286,3.51237971,2.055045144,-66.05787074
263,37.55133529,122.093583,299.99506,4.558280436,0.927560435,-60.83724339
264,37.55159944,122.0932682,299.83984,1.704661026,5.19773096,-62.75382083
265,37.55186688,122.0929615,299.1676,0.521060449,2.89410828,-66.25685214
266,37.55213729,122.0926546,298.79358,0.628578924,1.76495185,-66.94996487
267,37.55240312,122.0923464,297.948,1.216878082,2.831743046,-68.22154697
268,37.55266913,122.0920337,298.35498,1.335203701,3.141107413,-67.7015709
269,37.55293974,122.0917161,298.89636,1.259701686,3.027325139,-67.5080109
